year,sex,race,borough,frisked,arrest,force,summons,contraband,weapons,numberOfEach,
2011,1,0,Manhattan,1,0,1,1,1,1,1,
2011,0,0,SI,0,0,1,0,0,0,1,
2011,1,0,Manhattan,0,1,0,0,1,0,1,
2011,1,0,Manhattan,1,1,1,0,0,1,1,
2011,1,0,Manhattan,1,0,0,1,0,0,1,
2011,0,0,Manhattan,1,1,1,1,0,0,1,
2011,1,0,Manhattan,1,0,0,1,1,0,1,
2011,1,0,Manhattan,1,1,1,0,1,0,1,
2011,0,0,Bronx,1,0,0,1,1,0,1,
2011,0,0,Bronx,1,1,1,1,0,0,1,
2011,0,0,Bronx,1,1,1,1,1,0,1,
2011,0,0,Brooklyn,1,0,0,0,1,0,1,
2011,0,0,Brooklyn,1,1,1,1,0,0,1,
2011,0,0,Brooklyn,0,1,1,0,1,0,1,
2011,1,0,Brooklyn,0,1,0,0,1,0,1,
2011,1,0,Brooklyn,0,0,1,1,0,0,1,
2011,1,0,Brooklyn,1,0,0,1,0,0,1,
2011,1,0,Brooklyn,1,1,1,0,1,0,1,
2011,1,0,Brooklyn,0,1,1,0,0,0,1,
2011,1,0,Brooklyn,1,0,1,0,0,1,1,
2011,0,0,Brooklyn,1,1,0,0,1,1,1,
2011,0,0,Queens,0,0,0,0,1,0,1,
2011,0,0,SI,0,1,0,0,0,0,1,
2011,1,0,SI,1,1,1,0,1,0,1,
2011,0,0,SI,1,0,1,1,1,0,1,
2011,1,0,SI,1,1,0,0,0,1,1,
2011,1,0,SI,1,0,1,1,0,0,1,
2011,0,0,Queens,0,0,0,1,0,1,1,
2011,1,0,Bronx,0,1,0,0,0,0,1,
2011,0,0,Queens,0,0,1,0,1,0,1,
2011,0,0,Bronx,1,0,1,0,0,1,1,
2011,1,0,Queens,0,1,1,0,0,0,1,
2011,1,0,Manhattan,1,1,0,0,1,0,1,
2011,0,0,Manhattan,0,0,1,0,0,1,1,
2011,0,0,Queens,0,1,1,0,0,1,1,
2011,1,0,Bronx,0,1,1,0,0,0,1,
2011,0,0,Queens,1,0,0,1,0,1,1,
2011,1,0,Queens,0,1,0,0,0,1,1,
2012,0,0,Bronx,0,0,1,1,0,0,1,
2012,0,0,Manhattan,0,1,0,0,0,1,1,
2012,0,0,Manhattan,1,1,1,1,0,0,1,
2012,0,0,Manhattan,1,0,0,0,1,0,1,
2012,0,0,SI,1,1,0,0,1,0,1,
2012,0,0,Brooklyn,1,0,1,1,0,1,1,
2012,0,0,Brooklyn,1,1,0,0,1,1,1,
2012,0,0,Bronx,1,1,0,0,1,0,1,
2012,1,0,Brooklyn,0,0,0,0,0,1,1,
2012,1,0,Queens,1,0,0,1,1,0,1,
2012,1,0,Manhattan,1,0,0,0,0,1,1,
2012,1,0,Bronx,0,1,0,0,1,0,1,
2012,1,0,Bronx,0,0,1,1,0,0,1,
2012,0,0,Queens,1,0,0,1,1,1,1,
2012,1,0,Brooklyn,1,1,0,0,1,0,1,
2012,0,0,SI,1,0,1,0,0,1,1,
2012,1,0,Bronx,0,0,1,0,0,0,1,
2012,0,0,SI,1,0,0,0,0,1,1,
2012,1,0,SI,1,1,0,0,0,0,1,
2012,1,0,Queens,1,1,0,0,1,0,1,
2012,0,0,Queens,1,1,1,1,0,0,1,
2012,1,0,Brooklyn,1,0,1,1,0,0,1,
2012,0,0,Queens,1,1,0,1,1,0,1,
2012,1,0,Manhattan,0,0,1,1,0,0,1,
2012,0,0,Manhattan,1,0,1,1,0,1,1,
2012,1,0,Manhattan,1,1,1,0,1,0,1,
2012,1,0,Bronx,0,1,1,0,1,0,1,
2012,1,0,Bronx,1,1,0,0,0,1,1,
2012,0,0,Bronx,1,0,0,0,1,0,1,
2012,1,0,Bronx,1,1,0,0,0,0,1,
2012,0,0,Brooklyn,1,0,0,1,0,1,1,
2012,1,0,Queens,1,0,1,1,0,0,1,
2012,0,0,Queens,0,0,0,1,1,0,1,
2012,0,0,SI,0,1,0,0,1,0,1,
2012,0,0,SI,0,1,1,0,0,0,1,
2012,0,0,SI,1,1,0,0,1,1,1,
2012,1,0,Queens,1,1,1,0,0,1,1,
2012,1,0,Queens,0,1,0,0,0,1,1,
2012,1,0,Brooklyn,0,0,0,1,1,0,1,
2012,1,0,Brooklyn,0,0,0,0,1,0,1,
